Airline,Source,Destination,Duration,Total stops,Market,Date,Departure_Day,Departure_Month,Departure_Year,Price
Delta,NYC,PAR,610,1,NYC-PAR,2022-02-01,1,2,2022,369.9
Delta,NYC,PAR,660,1,NYC-PAR,2022-02-01,1,2,2022,369.9
Delta,NYC,PAR,665,1,NYC-PAR,2022-02-01,1,2,2022,369.9
Delta,NYC,PAR,685,1,NYC-PAR,2022-02-01,1,2,2022,369.9
Delta,NYC,PAR,690,1,NYC-PAR,2022-02-01,1,2,2022,369.9
Delta,NYC,PAR,700,1,NYC-PAR,2022-02-01,1,2,2022,369.9
Delta,NYC,PAR,705,1,NYC-PAR,2022-02-01,1,2,2022,369.9
Delta,NYC,PAR,706,1,NYC-PAR,2022-02-01,1,2,2022,369.9
Delta,NYC,PAR,715,1,NYC-PAR,2022-02-01,1,2,2022,369.9
Delta,NYC,PAR,730,1,NYC-PAR,2022-02-01,1,2,2022,369.9
Delta,NYC,PAR,740,1,NYC-PAR,2022-02-01,1,2,2022,369.9
Delta,NYC,PAR,615,1,NYC-PAR,2022-02-01,1,2,2022,389.34
Delta,NYC,PAR,620,1,NYC-PAR,2022-02-01,1,2,2022,389.34
Delta,NYC,PAR,746,1,NYC-PAR,2022-02-01,1,2,2022,369.9
Delta,NYC,PAR,755,1,NYC-PAR,2022-02-01,1,2,2022,369.9
Delta,NYC,PAR,760,1,NYC-PAR,2022-02-01,1,2,2022,369.9
Delta,NYC,PAR,765,1,NYC-PAR,2022-02-01,1,2,2022,369.9
Delta,NYC,PAR,770,1,NYC-PAR,2022-02-01,1,2,2022,369.9
Delta,NYC,PAR,775,1,NYC-PAR,2022-02-01,1,2,2022,369.9
Delta,NYC,PAR,779,1,NYC-PAR,2022-02-01,1,2,2022,369.9
Delta,NYC,PAR,780,1,NYC-PAR,2022-02-01,1,2,2022,369.9
Delta,NYC,PAR,785,1,NYC-PAR,2022-02-01,1,2,2022,369.9
Delta,NYC,PAR,790,1,NYC-PAR,2022-02-01,1,2,2022,369.9
Delta,NYC,PAR,440,0,NYC-PAR,2022-02-02,2,2,2022,365.31
Delta,NYC,PAR,610,1,NYC-PAR,2022-02-02,2,2,2022,369.9
Delta,NYC,PAR,651,1,NYC-PAR,2022-02-02,2,2,2022,369.9
Delta,NYC,PAR,660,1,NYC-PAR,2022-02-02,2,2,2022,369.9
Delta,NYC,PAR,665,1,NYC-PAR,2022-02-02,2,2,2022,369.9
Delta,NYC,PAR,680,1,NYC-PAR,2022-02-02,2,2,2022,369.9
Delta,NYC,PAR,685,1,NYC-PAR,2022-02-02,2,2,2022,369.9
Delta,NYC,PAR,690,1,NYC-PAR,2022-02-02,2,2,2022,369.9
Delta,NYC,PAR,700,1,NYC-PAR,2022-02-02,2,2,2022,369.9
Delta,NYC,PAR,705,1,NYC-PAR,2022-02-02,2,2,2022,369.9
Delta,NYC,PAR,706,1,NYC-PAR,2022-02-02,2,2,2022,369.9
Delta,NYC,PAR,715,1,NYC-PAR,2022-02-02,2,2,2022,369.9
Delta,NYC,PAR,730,1,NYC-PAR,2022-02-02,2,2,2022,369.9
Delta,NYC,PAR,740,1,NYC-PAR,2022-02-02,2,2,2022,369.9
Delta,NYC,PAR,746,1,NYC-PAR,2022-02-02,2,2,2022,369.9
Delta,NYC,PAR,755,1,NYC-PAR,2022-02-02,2,2,2022,369.9
Delta,NYC,PAR,760,1,NYC-PAR,2022-02-02,2,2,2022,369.9
Delta,NYC,PAR,765,1,NYC-PAR,2022-02-02,2,2,2022,369.9
Delta,NYC,PAR,770,1,NYC-PAR,2022-02-02,2,2,2022,369.9
Delta,NYC,PAR,775,1,NYC-PAR,2022-02-02,2,2,2022,369.9
Delta,NYC,PAR,779,1,NYC-PAR,2022-02-02,2,2,2022,369.9
Delta,NYC,PAR,820,1,NYC-PAR,2022-02-02,2,2,2022,369.9
Delta,NYC,PAR,610,1,NYC-PAR,2022-02-02,2,2,2022,389.34
Delta,NYC,PAR,615,1,NYC-PAR,2022-02-02,2,2,2022,389.34
Delta,NYC,PAR,620,1,NYC-PAR,2022-02-02,2,2,2022,389.34
Delta,NYC,PAR,670,1,NYC-PAR,2022-02-02,2,2,2022,389.34
Delta,NYC,PAR,705,1,NYC-PAR,2022-02-02,2,2,2022,389.34
Delta,NYC,PAR,730,1,NYC-PAR,2022-02-02,2,2,2022,389.34
Delta,NYC,PAR,785,1,NYC-PAR,2022-02-02,2,2,2022,389.34
Delta,NYC,PAR,825,1,NYC-PAR,2022-02-02,2,2,2022,389.34
Delta,NYC,PAR,860,1,NYC-PAR,2022-02-02,2,2,2022,389.34
Delta,NYC,PAR,880,1,NYC-PAR,2022-02-02,2,2,2022,389.34
Delta,NYC,PAR,795,1,NYC-PAR,2022-02-02,2,2,2022,392.85
Delta,NYC,PAR,610,1,NYC-PAR,2022-02-06,6,2,2022,369.9
Delta,NYC,PAR,651,1,NYC-PAR,2022-02-06,6,2,2022,369.9
Delta,NYC,PAR,660,1,NYC-PAR,2022-02-06,6,2,2022,369.9
Delta,NYC,PAR,665,1,NYC-PAR,2022-02-06,6,2,2022,369.9
